0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
6.9548,5.9269,8.9536,6.2053,6.1692,7.8893,6.7375,5.7551,9.5896,7.1921,6.6757,11.1273,6.2625,9.3577,7.6997,11.6289,5.8096,8.1609,8.7608,6.32,6.2205,6.8438,7.1038,6.3933,7.6606,11.5038,11.6996,9.1942,11.3646,6.6087,6.1477,7.683,10.5583,8.2178,11.7402,6.2589,8.151,8.5623,8.0235,9.9511,11.5087,8.0401,9.092,5.9506,6.1957,11.5598,7.3897,5.6325,0.0
6.5745,4.5072,8.3409,7.3744,5.1398,7.7503,6.4276,4.1242,8.9966,7.2798,6.7306,10.783,4.8783,8.8071,7.1126,11.3508,4.0661,7.903,8.659,5.5661,7.1444,6.0628,7.2825,5.5504,9.3862,11.3674,11.1043,9.685,11.3578,7.5722,5.1019,6.8931,9.9859,8.4191,12.242,6.3493,8.5649,8.1946,7.5013,9.4885,10.918,6.7671,7.7112,4.7207,5.3323,10.794,6.2897,4.609,0.0
7.6984,4.7536,8.6335,5.0519,4.9518,7.3896,7.0322,4.4932,9.2067,6.1872,5.5024,11.0716,5.2622,10.2137,7.7965,10.8672,4.4512,8.3508,10.2798,5.6717,5.964,5.3871,5.781,5.1483,8.0401,11.2514,11.1425,9.1924,10.8625,10.1995,5.4531,8.6915,9.9976,7.3841,10.8256,7.8112,10.227,7.8742,7.6868,9.1939,11.0579,7.3408,9.2957,4.8299,5.6678,11.832,7.9162,4.7738,0.0
6.3658,5.0249,8.556,5.2331,5.356,7.6659,6.2261,4.8797,10.7414,6.4005,6.4675,9.5425,5.5451,10.9123,8.5575,11.6337,4.8887,9.098,9.8789,5.9284,6.3098,6.3673,7.2921,5.9643,6.8134,8.3764,11.6767,11.2747,11.2632,6.1107,6.2543,6.9151,10.6287,9.6073,10.0457,6.573,8.346,8.1352,8.1062,9.9079,11.5437,8.2414,8.6651,6.3043,5.3948,10.4704,9.085,4.8382,0.0
7.5428,5.5782,8.4347,5.5791,5.4563,6.8621,6.621,5.2139,9.8215,5.8399,5.4388,10.1586,5.6189,8.5618,8.315,11.1491,5.3931,8.9934,8.0176,5.6988,6.1388,5.6371,6.3858,6.3438,6.6924,9.2394,11.7875,8.8625,11.5914,6.7609,6.5009,5.8655,10.0416,8.0846,10.8028,6.2721,9.1134,8.1343,8.3006,10.5078,11.5252,7.7206,9.5533,5.3396,5.8463,10.1339,9.4114,5.2675,0.0
8.3784,4.654,9.2116,5.5828,6.6795,6.7332,6.539,4.5045,9.908,6.1327,5.2817,11.5782,5.2578,10.2848,7.6196,11.8372,4.5182,8.1944,12.1422,5.8316,7.1973,5.2336,6.2392,5.5117,6.0753,10.6001,11.6318,8.9692,11.8241,8.5583,5.0402,5.8311,10.4958,8.7495,11.0407,5.3907,9.5516,9.3296,8.0343,10.6076,10.916,8.0854,9.6874,4.816,5.4067,10.3261,5.5622,4.7648,1.0
7.8359,4.2793,8.9669,4.7957,4.4122,7.5111,6.4327,4.1795,9.0584,6.0338,5.1658,10.5418,4.8227,9.9103,7.9579,11.4425,4.0797,8.1436,9.2541,5.8805,5.6989,5.1507,5.1931,4.6624,8.7826,10.2754,10.5492,9.171,11.0778,5.8151,4.9033,5.0881,10.1158,7.5435,10.9494,7.92,9.8132,8.3531,7.1665,9.7496,11.1871,7.0038,8.4721,4.4047,5.7529,11.2785,8.2869,4.2701,0.0
6.9216,4.5406,8.8497,8.4926,6.3903,7.2728,6.3881,4.5393,8.3343,6.6831,6.3353,11.2451,5.0964,9.4074,7.631,11.6184,4.4429,7.5893,8.8085,5.0733,6.719,6.3722,6.6343,5.3666,7.7146,11.2127,10.96,11.0084,11.0865,6.0243,6.855,6.0966,10.529,8.2881,11.4795,7.3456,9.0731,7.9991,7.5957,9.1152,10.9811,6.7287,9.2869,4.82,5.4067,11.0855,6.9132,4.614,1.0
7.3579,4.734,8.9842,6.6576,4.8593,7.6149,6.6241,3.9694,9.2409,6.1539,5.2879,11.3017,4.8179,8.9008,7.5498,11.0373,4.152,8.1081,8.7483,5.1799,5.4559,5.4366,7.0847,5.7504,9.4359,10.7833,11.2964,9.6391,11.1927,10.6189,4.7174,5.7604,11.08,10.418,11.5523,4.9841,9.4334,8.7638,7.5727,9.787,10.848,6.652,7.4703,6.1523,5.224,10.6221,5.6798,4.5315,1.0
6.9861,4.6704,8.7763,5.3099,5.02,7.6131,6.9886,5.2354,9.9033,6.8937,6.1009,10.7264,5.2641,9.841,7.6737,11.5161,4.4931,8.038,9.3232,5.4454,5.7325,6.0901,5.8125,5.4171,7.8074,10.7426,11.1865,10.2073,11.4959,7.3679,6.5684,5.9132,10.4567,7.6893,11.1352,7.4341,9.093,7.5892,7.7191,10.0327,11.599,7.6119,10.7637,4.978,5.4608,11.0082,7.8486,4.7326,0.0
