0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
8.6621,6.1945,10.4836,7.4139,12.6505,11.3646,8.114,5.969,8.2532,6.1995,5.8751,5.942,8.5395,8.6309,6.32,6.1529,6.5096,8.1609,10.5009,11.4381,10.3973,6.051,6.3434,10.313,7.7485,5.8949,7.957,8.0401,5.9399,9.0524,6.9512,6.0727,11.665,11.1631,6.9354,6.0435,8.1883,5.6045,9.1599,5.6325,7.683,10.5011,9.1622,6.6757,5.7551,7.0468,6.6631,13.4935,12.0231,0.0
7.7851,4.233,8.7659,9.3702,12.7889,11.3578,11.3066,4.2988,8.0269,5.2943,4.4707,5.4475,9.816,8.4022,5.5661,5.0163,7.1763,7.903,10.6932,11.9859,10.4583,4.7418,5.9851,10.1111,6.705,4.4269,8.2063,6.7671,4.1183,9.6505,5.7029,5.3918,11.8924,9.8985,8.2411,5.7606,8.7902,4.0777,9.9353,4.609,6.8931,6.7426,10.1054,6.7306,4.1242,6.7512,6.2174,16.066,10.4406,0.0
8.774,4.8004,7.9565,10.7562,11.2136,10.8625,12.4467,4.7479,8.4143,4.9234,4.8676,4.961,7.1611,9.6882,5.6717,4.7974,6.548,8.3508,10.6632,13.3285,10.8146,4.9839,6.3066,11.9036,6.7217,4.6621,8.0542,7.3408,4.5693,10.6684,6.3266,5.2032,13.288,11.368,7.5651,5.4673,8.5343,4.5009,9.6504,4.7738,8.6915,7.7048,9.7247,5.5024,4.4932,8.1043,5.8401,15.9469,10.9939,0.0
8.5388,5.2658,10.8575,8.884,11.8987,11.2632,9.445,5.0908,8.1396,5.6616,5.9464,5.0177,10.0612,8.1656,5.9284,5.2702,6.3944,9.098,10.7168,12.0141,9.6361,6.2517,6.1313,9.0754,7.5259,4.9814,7.4069,8.2414,4.9474,9.4772,10.022,5.224,11.7782,10.0788,8.3399,5.355,8.6219,4.6907,10.2344,4.8382,6.9151,6.6574,8.4435,6.4675,4.8797,6.6738,6.53,15.9786,11.0168,0.0
9.2033,5.6881,12.6555,9.3956,12.0739,11.5914,10.5358,5.4505,7.6731,5.4249,5.3565,5.2664,10.1141,9.3306,5.6988,5.8429,7.0897,8.9934,10.4737,12.8415,9.3769,5.6419,6.4743,11.2597,7.9966,5.5076,7.4913,7.7206,5.1765,9.927,8.323,5.4434,13.1412,11.3035,7.2851,5.8431,8.4164,5.1311,9.9914,5.2675,5.8655,10.383,8.8165,5.4388,5.2139,7.9791,6.1353,15.0612,10.9016,0.0
9.0363,4.7802,11.2999,10.6257,12.4394,11.8241,11.8551,4.5007,7.1069,5.1259,4.6627,4.6386,8.1211,9.8617,5.8316,4.9841,8.432,8.1944,10.7648,14.0784,9.411,5.0086,5.989,10.2906,6.3569,4.4877,6.8999,8.0854,4.5599,10.6113,6.9473,5.2568,14.0804,12.6755,7.1979,4.867,9.328,4.4455,10.3341,4.7648,5.8311,7.2489,9.9471,5.2817,4.5045,7.8896,5.6051,15.1844,10.9165,1.0
8.4339,4.6139,8.8863,10.5617,12.7809,11.0778,11.4133,4.2735,8.3046,4.6633,4.2283,4.756,8.3933,9.3007,5.8805,4.5335,6.8951,8.1436,10.1398,12.2686,10.3808,4.7284,5.5447,9.6494,6.1313,4.1673,7.7494,7.0038,4.0954,10.981,8.9438,4.5074,13.5935,11.8981,6.9313,5.2479,9.1068,3.954,9.8774,4.2701,5.0881,7.0815,9.6667,5.1658,4.1795,7.6968,5.2058,16.065,11.6327,0.0
8.5117,4.9684,8.4527,10.3602,13.0089,11.0865,9.2057,4.5975,6.7076,5.2625,4.7815,4.95,6.8793,8.9311,5.0733,5.2302,6.8889,7.5893,10.8175,12.7357,10.2073,5.179,6.4843,7.862,6.2647,4.5201,8.9184,6.7287,4.4277,9.938,6.0518,5.5923,12.6854,10.8705,7.9827,5.5847,9.4789,4.4583,9.6255,4.614,6.0966,8.091,9.081,6.3353,4.5393,7.5093,6.2765,15.8933,10.532,1.0
9.289,4.6413,8.67,10.1368,12.0232,11.1927,11.5136,4.1515,7.9993,4.7751,4.255,5.2774,8.3914,9.348,5.1799,4.8463,7.1441,8.1081,11.0923,13.1871,9.3046,4.8875,6.8733,9.5028,7.5504,4.1582,7.4147,6.652,4.1381,10.3649,5.2755,5.0444,13.4368,11.6681,7.4347,4.4523,9.2386,4.4338,10.781,4.5315,5.7604,7.3721,9.2331,5.2879,3.9694,7.736,5.7348,15.6758,10.6721,1.0
8.8474,4.9455,9.0263,9.9029,11.9674,11.4959,9.575,4.7416,7.773,5.1966,4.8369,4.8505,7.2284,8.8927,5.4454,5.3124,7.4404,8.038,10.3829,12.9588,11.5179,5.3908,6.2495,8.4191,6.8698,4.6864,7.5462,7.6119,4.8713,9.7226,8.907,5.4791,13.0364,11.4355,7.4535,6.1635,8.5925,4.3997,9.7555,4.7326,5.9132,10.307,9.1879,6.1009,5.2354,7.2406,6.1538,15.4266,11.6238,0.0
8.6944,4.9387,8.8599,9.9993,12.986,10.7418,12.2764,4.6774,8.6288,4.8175,4.8745,5.5639,6.8264,9.4237,5.3301,5.668,6.8389,7.7426,9.5947,12.8792,10.2589,5.1072,5.6692,11.5113,6.6285,4.7371,7.2071,6.9356,4.611,10.3638,7.616,5.2459,13.1422,10.8512,7.8663,5.2197,9.387,4.6182,9.8926,4.6321,6.1148,7.0897,8.912,5.8316,4.6654,7.4385,5.957,16.5237,10.4903,1.0
6.7884,4.7214,10.6383,8.9208,12.7929,10.2437,12.0693,4.5491,8.2098,5.186,4.8864,5.0008,9.2292,9.1508,5.8305,5.0296,7.1923,8.6421,9.8595,11.2486,9.0154,5.0198,5.172,11.6757,5.334,4.7594,6.7718,8.9068,4.6422,11.2064,5.1359,4.9739,13.0685,10.5916,7.0395,4.9055,8.9221,4.5724,10.7721,4.5084,6.0403,7.328,10.1198,5.6845,4.4358,7.0636,5.5577,16.2894,10.981,1.0
7.7476,4.5467,10.3241,9.895,11.9176,10.9185,10.2803,4.4071,8.273,4.6809,4.4975,4.7142,9.1388,9.1251,5.9143,4.8407,5.9295,8.2269,10.675,11.3585,9.2199,4.8696,5.9566,7.9154,6.5991,4.6661,8.066,7.0243,4.261,9.8439,8.4122,5.3997,12.1505,10.4064,7.7031,5.6744,8.8691,4.3847,9.646,4.3667,6.2638,7.4461,8.9531,5.3466,4.5014,7.564,6.4408,15.7592,10.3909,0.0
9.5076,5.7699,8.3842,9.1766,11.9425,11.7556,10.7357,5.1413,7.5743,5.5521,5.2605,5.9689,7.6459,9.1992,5.3007,5.7802,7.7572,8.6939,11.2193,13.3097,10.2094,5.6262,6.7465,11.0089,7.1718,5.1102,7.64,7.7545,4.9963,10.6344,6.2708,5.7581,13.2133,11.3616,7.6371,6.4275,9.0981,5.0458,11.3187,5.6485,6.5627,7.5323,9.6805,5.7655,5.2077,7.4714,6.1572,14.4496,10.1068,1.0
8.5222,4.8592,9.7672,8.8375,12.5708,11.5403,9.3545,4.7521,8.7918,5.1648,4.7172,4.9789,8.4529,8.0194,5.4671,5.5613,6.3338,8.2543,10.5163,11.2842,11.8629,5.2283,5.9821,7.9962,6.7609,4.7878,7.5237,7.0527,4.5776,8.5614,9.8999,5.2975,11.4045,9.7453,7.4874,6.0225,8.3878,4.6054,10.2273,4.7557,6.2618,6.5824,9.1745,6.1047,4.6347,6.4939,6.2093,15.3065,11.6586,1.0
8.4488,5.1583,8.1366,11.8698,12.2104,10.3074,13.7884,4.8846,7.4913,5.4085,5.0873,5.4983,8.0557,10.4521,5.4813,5.6702,8.7988,9.2148,9.7561,13.6647,9.601,5.5175,5.9561,13.4714,6.2706,4.8354,6.1927,7.9259,4.9911,11.7936,5.4902,5.1476,15.0059,13.0184,7.592,5.2377,8.6835,6.2655,11.9908,4.9156,5.5713,7.8722,8.2946,6.0373,4.8161,7.7477,6.6909,16.1961,11.8026,1.0
6.5357,5.743,9.0126,9.7426,13.4311,10.0573,10.1468,4.9846,8.7049,5.5156,5.5693,5.6565,6.9139,9.2071,5.676,5.533,6.3507,7.9842,10.763,11.014,10.8889,5.9053,5.5768,8.847,5.6772,5.3373,7.318,7.5152,5.114,10.1034,8.4442,4.964,13.4991,10.6478,7.4102,5.5755,9.0374,4.7952,10.2691,4.8875,6.9056,7.2581,10.1537,6.692,4.729,6.7187,6.2545,16.7898,11.9506,0.0
8.2249,4.5136,9.5049,10.3409,11.2744,11.1377,12.3669,4.1642,7.4913,4.7327,4.3589,4.4854,7.3275,9.583,5.4486,4.7374,8.0955,8.3294,10.5281,12.3933,9.5938,4.8539,5.973,11.1185,6.6707,4.1552,7.2503,6.8937,3.9538,11.1343,6.9657,5.1079,13.2277,11.6134,7.7043,5.8836,8.8856,3.9636,10.2807,4.1726,5.345,6.8186,8.762,5.4264,4.157,7.7676,5.7174,15.8019,11.2324,1.0
6.666,5.1219,9.0018,9.3772,12.8865,9.8198,12.6116,4.6133,9.2563,5.0529,4.6123,7.531,7.1246,9.3401,5.5085,4.9735,7.3788,7.6959,9.3207,11.6067,9.4967,5.5758,5.3747,12.3653,5.5056,4.8993,6.7276,9.1855,4.7974,10.6694,5.1621,5.3114,13.3958,11.4385,7.1856,5.8897,9.4685,4.5329,11.4843,4.7759,5.5914,7.9605,8.5124,5.7156,4.6613,7.2463,5.5496,16.4681,11.3009,0.0
7.8026,4.8676,9.0664,8.9295,11.9256,11.3983,9.7175,4.5291,7.1395,5.2142,4.5667,5.1908,8.6059,8.4048,5.54,5.1924,7.3869,9.6585,10.8292,11.2423,9.7043,5.133,5.9032,7.8437,7.469,4.6134,9.3621,7.2147,4.3048,10.5292,5.1417,5.9338,11.5587,9.6595,8.2394,6.8269,8.138,4.3975,9.7822,4.5597,6.8597,6.87,9.4812,6.071,4.4297,6.7702,5.8945,16.2765,10.5847,1.0
8.0186,5.1174,8.4537,10.6257,12.1576,10.6714,11.6131,4.8804,8.6535,5.06,5.0091,5.3928,6.7687,9.3117,6.1797,4.8702,6.8077,8.2381,11.2202,12.3859,10.355,4.9626,5.9292,11.0852,6.6138,4.9155,8.1077,7.5382,4.7849,10.8037,8.2334,5.4781,12.8673,11.0818,7.657,5.9036,8.1657,4.7664,9.2481,5.3047,6.2628,7.2838,8.8263,5.7007,4.5967,7.2811,6.001,15.8377,10.4595,0.0
7.9688,5.9609,9.2289,9.0802,12.9124,10.8741,9.894,5.216,7.8332,5.4485,5.2744,5.8614,8.3962,7.991,5.7685,5.3546,7.1066,8.6797,11.0188,11.7251,9.7146,5.8224,6.2573,7.5683,6.2049,5.1761,8.2736,6.8434,5.1317,10.6494,6.3052,5.9685,10.482,9.628,7.6108,5.496,8.7321,5.0916,10.0537,7.7207,6.5245,7.4122,10.9591,6.5947,5.0826,6.4149,6.5334,15.651,11.3943,0.0
7.543,4.5707,9.4941,8.7517,11.4805,9.9849,11.1515,4.6575,8.3837,4.6209,4.6034,5.4674,10.2469,8.623,6.3462,4.6224,5.56,9.0198,10.7739,11.2014,10.1598,4.6869,5.0117,10.8194,5.688,4.654,7.4991,9.0613,4.7099,9.0223,8.7301,5.1972,12.7338,9.8955,7.4464,4.7614,9.2985,4.4348,9.7751,6.9797,5.5169,8.5962,8.2812,5.2668,4.4563,6.5884,5.7047,16.1742,11.5185,0.0
7.8105,4.7186,8.8511,10.7115,13.7149,10.6125,12.4171,4.4671,8.606,4.6562,4.9151,5.3052,7.771,9.287,5.6608,4.738,7.5368,7.903,10.0537,12.3189,9.6568,4.9178,5.4597,10.4381,5.7881,4.5526,8.3864,6.9705,4.4797,11.0261,5.5488,5.1833,13.2262,11.1946,7.2628,5.76,9.2144,4.3783,10.2184,5.0926,6.5331,6.1183,9.9035,5.8503,4.3056,7.2741,5.869,16.6131,10.7059,1.0
8.9349,6.1598,9.7202,10.093,12.5589,11.4592,10.0957,5.6546,7.352,6.1878,5.7781,6.1132,8.4828,9.8511,6.0764,5.9079,7.5743,8.8249,10.8909,13.0573,9.7095,5.9524,6.6233,9.5814,6.7472,5.6515,8.8811,7.7061,5.7681,10.451,8.1927,5.8563,13.5406,11.8223,7.1856,6.183,7.9558,5.516,10.27,5.5229,7.0001,7.7141,9.0287,6.3141,5.6608,8.1539,6.2869,14.6671,11.3546,1.0
8.5467,5.9951,9.131,9.8144,12.1188,11.1329,12.2665,6.0132,7.9578,6.0076,6.7361,5.8754,9.8179,9.429,6.3179,5.9663,7.4609,8.4858,10.7639,12.3985,9.128,5.8907,6.662,11.4341,6.6109,6.2608,8.0871,7.436,5.6368,10.2927,6.266,6.1889,12.0719,10.6232,8.2657,6.3532,9.2161,5.7708,10.5602,6.0799,6.4318,7.9267,8.8622,6.6608,5.9273,7.7366,7.265,16.0114,11.1906,0.0
9.4385,5.6221,9.7535,9.2414,11.5422,11.5963,9.2675,5.4453,7.4014,5.7334,5.4149,5.5689,9.4437,9.1472,6.0285,5.5091,7.7421,9.0097,10.8265,12.2121,10.2455,5.7439,6.2235,8.9169,7.6308,5.2876,7.9708,7.915,5.4337,10.2416,9.3959,5.7243,12.9587,11.2537,7.5535,6.0061,7.8994,5.3795,10.2558,5.4505,6.0326,10.0031,9.0636,5.874,5.5757,7.4287,6.0207,14.8607,12.0063,1.0
8.8431,6.2057,9.501,9.7364,12.7043,11.5663,11.6562,5.9406,8.1544,6.2195,6.4798,5.9659,7.9883,9.2728,5.9676,6.1918,8.0348,8.6371,11.4778,12.1157,9.8128,6.7942,7.0499,10.6774,7.4278,6.0236,8.5778,7.441,6.0222,10.0803,6.501,6.1531,12.2118,10.5409,8.6598,6.2927,8.8839,5.9073,10.927,5.8355,6.683,8.1259,9.8639,6.7967,5.9007,7.6513,7.4756,16.2259,10.8608,1.0
8.2328,6.4303,9.5949,8.8139,13.5357,11.1251,10.3485,5.6861,8.95,5.7569,5.6564,5.9729,7.8777,8.4479,6.6355,5.7485,6.1303,8.5904,10.6578,11.2067,9.883,5.9367,6.6341,9.3083,7.1012,5.6678,8.1636,7.421,5.5316,9.2437,9.2229,5.9348,10.6022,9.7315,7.93,6.1317,9.1588,5.822,8.8119,5.4917,6.747,7.1965,9.7021,6.4052,5.7961,6.8701,6.6828,17.1393,11.7778,0.0
8.9961,6.0539,9.8612,10.5521,11.363,11.2033,11.2197,4.4524,7.8342,4.9894,4.6439,4.6555,7.2813,9.8601,5.9371,4.8002,7.9911,8.4777,10.1625,13.8815,10.5657,4.9503,6.3647,9.2589,6.6638,4.4968,7.4692,6.7766,4.1027,11.1413,5.7921,4.9233,13.7996,11.7735,7.8236,5.9513,8.4424,4.2802,10.6038,4.1606,6.3516,7.6402,9.8418,5.5885,4.2246,8.2307,6.2232,16.1534,11.6655,0.0
